Unnamed: 0,addr,역명,지하철 거리,addr.1,학교명,학교 거리,addr.2,기관명,병원 거리,면적당금액
3908,강남구 역삼동 695-11,선릉,274.4566842379073,강남구 역삼동 695-11,진선여자중학교,535.2317225638376,강남구 역삼동 695-11,한마음한의원,57.470978545264245,1592.468733
3909,강남구 역삼동 656-29,언주,411.9090778402313,강남구 역삼동 656-29,서울학동초등학교,609.1585644311309,강남구 역삼동 656-29,더건강의원,121.6830537021266,931.6770186
3910,강남구 역삼동 757-0,한티,288.6290353515581,강남구 역삼동 757-0,역삼중학교,233.4359109256432,강남구 역삼동 757-0,우리내과의원,72.39191590761092,3712.121212
3911,강남구 역삼동 695-11,선릉,274.4566842379073,강남구 역삼동 695-11,진선여자중학교,535.2317225638376,강남구 역삼동 695-11,한마음한의원,57.470978545264245,1592.468733
3912,강남구 역삼동 695-11,선릉,274.4566842379073,강남구 역삼동 695-11,진선여자중학교,535.2317225638376,강남구 역삼동 695-11,한마음한의원,57.470978545264245,1592.468733
3913,강남구 역삼동 695-11,선릉,274.4566842379073,강남구 역삼동 695-11,진선여자중학교,535.2317225638376,강남구 역삼동 695-11,한마음한의원,57.470978545264245,1592.468733
3914,강남구 역삼동 690-42,선정릉,422.9246470803832,강남구 역삼동 690-42,서울학동초등학교,662.3677541569751,강남구 역삼동 690-42,예젤의원,128.59594090890357,1261.261261
3915,강남구 역삼동 781-17,역삼,825.7648256801907,강남구 역삼동 781-17,도곡중학교,356.3720375440283,강남구 역삼동 781-17,역삼의원,145.43170148780976,759.0529248
3916,강남구 역삼동 823-3,강남,338.07031224418733,강남구 역삼동 823-3,서울서초초등학교,598.1863726637499,강남구 역삼동 823-3,맥스웰피부과의원,76.37098089042597,689.9004267
3917,강남구 역삼동 831-40,강남,417.6977207545673,강남구 역삼동 831-40,서울역삼초등학교,243.2789949354343,강남구 역삼동 831-40,강남메이퓨어의원,72.11842021093672,604.5519203
3918,강남구 역삼동 823-33,역삼,403.5678159344369,강남구 역삼동 823-33,서울역삼초등학교,608.7569575801045,강남구 역삼동 823-33,원치과의원,85.02961854334764,1447.178003
3919,강남구 역삼동 837-13,강남,657.8636988865194,강남구 역삼동 837-13,서울역삼초등학교,162.20041443358582,강남구 역삼동 837-13,성모아이한의원,34.147473945744544,879.7653959
3920,강남구 역삼동 832-16,강남,504.3424241361695,강남구 역삼동 832-16,서울역삼초등학교,211.5938959628641,강남구 역삼동 832-16,강남성모이비인후과의원,44.72551370222467,1729.046178
3921,강남구 역삼동 778-13,한티,822.9701971575204,강남구 역삼동 778-13,도곡중학교,383.5310527428433,강남구 역삼동 778-13,엔젤미치과의원,173.6153824506604,2004.677581
3922,강남구 역삼동 735-17,역삼,368.1084206842923,강남구 역삼동 735-17,서울역삼초등학교,621.9018209908597,강남구 역삼동 735-17,김민정한의원,73.72637355165885,1079.497908
3923,강남구 역삼동 735-17,역삼,368.1084206842923,강남구 역삼동 735-17,서울역삼초등학교,621.9018209908597,강남구 역삼동 735-17,김민정한의원,73.72637355165885,1079.497908
3924,강남구 역삼동 823-3,강남,338.07031224418733,강남구 역삼동 823-3,서울서초초등학교,598.1863726637499,강남구 역삼동 823-3,맥스웰피부과의원,76.37098089042597,689.9004267
3925,강남구 역삼동 735-17,역삼,368.1084206842923,강남구 역삼동 735-17,서울역삼초등학교,621.9018209908597,강남구 역삼동 735-17,김민정한의원,73.72637355165885,1079.497908
